ID,Condition,Channel,Mean_Amplitude
1,Cars,PO7,11.714
1,Cars,PO7,8.054
1,Cars,PO7,10.427
1,ScrambledFaces,PO7,-0.965
1,Faces,PO7,-2.752
1,ScrambledCars,PO7,8.182
1,ScrambledCars,PO7,0.643
1,ScrambledCars,PO7,0.855
1,ScrambledFaces,PO7,-3.064
1,Faces,PO7,-6.305
1,ScrambledFaces,PO7,12.062
1,ScrambledCars,PO7,-5.5
1,Cars,PO7,9.751
1,ScrambledCars,PO7,-11.244
1,ScrambledFaces,PO7,2.962
1,Faces,PO7,0.608
1,Faces,PO7,-5.353
1,Faces,PO7,3.148
1,Cars,PO7,10.674
1,ScrambledFaces,PO7,6.424
1,Faces,PO7,-10.357
1,Faces,PO7,-5.037
1,ScrambledFaces,PO7,-15.595
1,Faces,PO7,-3.005
1,Faces,PO7,-13.242
1,ScrambledFaces,PO7,4.492
1,ScrambledFaces,PO7,-0.906
1,Cars,PO7,5.654
1,ScrambledFaces,PO7,24.072
1,Cars,PO7,-7.704
1,Cars,PO7,-0.561
1,ScrambledFaces,PO7,7.111
1,ScrambledCars,PO7,2.963
1,ScrambledCars,PO7,9.508
1,ScrambledCars,PO7,-0.805
1,Faces,PO7,11.61
1,Cars,PO7,-5.529
1,ScrambledFaces,PO7,1.329
1,ScrambledCars,PO7,3.915
1,ScrambledCars,PO7,-8.934
1,Faces,PO7,14.007
1,ScrambledFaces,PO7,-3.061
1,ScrambledFaces,PO7,3.256
1,Cars,PO7,6.825
1,Cars,PO7,1.038
1,ScrambledFaces,PO7,7.108
1,ScrambledCars,PO7,1.55
1,Cars,PO7,-0.745
1,Faces,PO7,-3.461
1,ScrambledCars,PO7,1.245
1,ScrambledCars,PO7,11.926
1,Cars,PO7,1.961
1,ScrambledFaces,PO7,7.723
1,ScrambledFaces,PO7,-7.737
1,Faces,PO7,21.85
1,ScrambledCars,PO7,5.717
1,Faces,PO7,-12.315
1,Faces,PO7,-5.939
1,ScrambledFaces,PO7,4.041
1,ScrambledCars,PO7,17.369
1,ScrambledFaces,PO7,6.232
1,ScrambledFaces,PO7,9.143
1,ScrambledCars,PO7,4.574
1,ScrambledCars,PO7,14.286
1,ScrambledFaces,PO7,-3.23
1,ScrambledCars,PO7,-2.612
1,ScrambledCars,PO7,2.903
1,Cars,PO7,6.746
1,ScrambledFaces,PO7,2.215
1,ScrambledCars,PO7,-9.892
1,Faces,PO7,-3.351
1,Cars,PO7,-3.541
1,ScrambledCars,PO7,-3.628
1,Cars,PO7,13.751
1,ScrambledFaces,PO7,11.676
1,Faces,PO7,-21.116
1,ScrambledCars,PO7,-6.224
1,ScrambledFaces,PO7,-1.108
1,Faces,PO7,-8.145
1,ScrambledFaces,PO7,-5.183
1,Cars,PO7,-2.004
1,ScrambledFaces,PO7,7.387
1,Faces,PO7,-15.635
1,Faces,PO7,9.107
1,ScrambledCars,PO7,3.539
1,Cars,PO7,-2.676
1,ScrambledCars,PO7,9.215
1,Faces,PO7,-9.403
1,ScrambledFaces,PO7,3.346
1,ScrambledFaces,PO7,8.46
1,ScrambledCars,PO7,-4.082
1,Cars,PO7,-4.971
1,ScrambledCars,PO7,13.337
1,Faces,PO7,-12.009
1,ScrambledFaces,PO7,3.609
1,Faces,PO7,-6.256
1,Cars,PO7,15.052
1,ScrambledFaces,PO7,-13.828
1,ScrambledFaces,PO7,-2.06
1,ScrambledCars,PO7,4.118
1,Faces,PO7,6.107
1,Cars,PO7,4.781
1,Cars,PO7,18.098
1,ScrambledFaces,PO7,11.533
1,Cars,PO7,8.545
1,Faces,PO7,-18.554
1,Faces,PO7,-7.15
1,Faces,PO7,13.313
1,ScrambledFaces,PO7,-6.463
1,Faces,PO7,5.492
1,ScrambledCars,PO7,-4.737
1,ScrambledCars,PO7,-5.668
1,Faces,PO7,6.306
1,Cars,PO7,0.086
1,Faces,PO7,5.316
1,ScrambledCars,PO7,-4.988
1,Faces,PO7,15.193
1,Cars,PO7,2.989
1,ScrambledFaces,PO7,1.954
1,Cars,PO7,-3.014
1,ScrambledCars,PO7,1.06
1,Faces,PO7,3.978
1,ScrambledCars,PO7,9.553
1,Faces,PO7,3.674
1,ScrambledCars,PO7,2.15
1,ScrambledCars,PO7,-3.57
1,Faces,PO7,-3.615
1,ScrambledCars,PO7,16.144
1,ScrambledFaces,PO7,-2.025
1,Cars,PO7,14.688
1,ScrambledFaces,PO7,0.787
1,Cars,PO7,-12.011
1,ScrambledFaces,PO7,0.865
1,Cars,PO7,0.902
1,ScrambledFaces,PO7,4.181
1,Cars,PO7,-0.486
1,Cars,PO7,-2.018
1,ScrambledFaces,PO7,-3.24
1,ScrambledCars,PO7,9.055
1,ScrambledFaces,PO7,11.053
1,Faces,PO7,-0.981
1,ScrambledFaces,PO7,-0.356
1,Faces,PO7,4.657
1,Faces,PO7,4.192
1,ScrambledCars,PO7,-1.279
1,Faces,PO7,1.666
1,Faces,PO7,-9.107
1,Faces,PO7,5.59
1,ScrambledCars,PO7,-0.171
1,Cars,PO7,1.486
1,Faces,PO7,10.398
1,Faces,PO7,-2.7
1,Cars,PO7,4.631
1,ScrambledFaces,PO7,10.065
1,Cars,PO7,-1.158
1,Faces,PO7,9.335
1,ScrambledCars,PO7,5.673
1,ScrambledFaces,PO7,-2.171
1,Faces,PO7,1.878
1,ScrambledCars,PO7,-6.758
1,Faces,PO7,7.019
1,ScrambledFaces,PO7,16.96
1,Faces,PO7,-6.991
1,ScrambledCars,PO7,0.967
1,Faces,PO7,-1.185
1,ScrambledCars,PO7,-19.147
1,Faces,PO7,13.677
1,ScrambledCars,PO7,-10.148
1,ScrambledCars,PO7,1.416
1,Faces,PO7,23.263
1,Cars,PO7,-0.456
1,ScrambledFaces,PO7,-6.024
